Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]",Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]",Children out of school (% of primary school age) [SE.PRM.UNER.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS]
2016,YR2016,Heavily indebted poor countries (HIPC),HPC,40.9857458730235,80.54475,41.3609199523926,36.1963351446922,17.6220798492432,5.34075866180559,8.08279458119411,66.0051072666919,60.4588088989258,72.6354827880859,11.6798805223011
2016,YR2016,Fragile and conflict affected situations,FCS,54.115990502072,..,32.2641983032227,34.5279211651287,24.6882305145264,4.48690640406115,9.21127885948417,54.8962843739548,64.2720031738281,74.0441436767578,22.9943052176163
2016,YR2016,Least developed countries: UN classification,LDC,46.914306710049,81.43591,35.8830108642578,32.1584716778712,16.8309593200684,4.35149142726488,7.57101947622315,63.7361132728332,62.8924102783203,76.4036483764648,13.9684950490917
2016,YR2016,Middle income,MIC,90.8056876176142,91.53974,14.075590133667,18.8870085357096,6.82318019866943,5.27951562500454,7.25840620259387,57.4303717328144,85.7772903442383,92.9761505126953,55.8738368021342
2016,YR2016,Low income,LIC,38.7869646577126,81.0466,38.5096206665039,35.4681150211905,20.0925197601318,6.02069753935884,8.11811840483923,63.660931571574,59.2853889465332,71.2922134399414,13.9810904797713
2016,YR2016,High income,HIC,99.9679240104872,96.85409,2.44739007949829,10.8460317886405,1.34498000144958,12.5168636805025,8.71900885918081,56.6871163898433,..,..,99.163585768252
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 04/26/2021,,,,,,,,,,,,,,
